source_id	occurrence_id	pattern_id	start	end	match_json
gutenberg-541	wharton-age-of-innocence-64e6f2454e5c	en_i_optional_emphatic_do_love_you	132760	132773	"""I do love\nyou"""
gutenberg-4240	lawrence-women-in-love-9231790d35a8	en_i_optional_emphatic_do_love_you	311710	311720	"""I love you"""
gutenberg-4240	lawrence-women-in-love-62544ed4b4fe	en_i_optional_emphatic_do_love_you	312294	312304	"""I love you"""
gutenberg-4240	lawrence-women-in-love-34699c42511c	en_i_optional_emphatic_do_love_you	312310	312320	"""I\nlove you"""
gutenberg-4240	lawrence-women-in-love-834fba776e38	en_i_optional_emphatic_do_love_you	529379	529389	"""I love you"""
gutenberg-4240	lawrence-women-in-love-55f289758551	en_i_optional_emphatic_do_love_you	779642	779652	"""I love you"""
gutenberg-4240	lawrence-women-in-love-ad79781ee68c	en_i_optional_emphatic_do_love_you	781013	781023	"""I love you"""
gutenberg-4240	lawrence-women-in-love-d183a7d77a95	en_i_optional_emphatic_do_love_you	781025	781035	"""I love you"""
gutenberg-4240	lawrence-women-in-love-5ab672887915	en_i_optional_emphatic_do_love_you	781615	781625	"""I love you"""
gutenberg-4240	lawrence-women-in-love-9452b40305b4	en_i_optional_emphatic_do_love_you	935591	935601	"""I love you"""
runeberg-hamsun-victoria	hamsun-victoria-2c42c4d8b538	no_jeg_elsker_dem_formal	41854	41868	"""Jeg elsker Dem"""
runeberg-hamsun-victoria	hamsun-victoria-03bc3c21f598	no_jeg_elsker_dem_formal	43020	43034	"""Jeg elsker Dem"""
runeberg-hamsun-victoria	hamsun-victoria-2e7f05327ab0	no_jeg_elsker_dem_formal	51695	51709	"""Jeg elsker Dem"""
runeberg-hamsun-victoria	hamsun-victoria-9b199e4962fa	no_jeg_elsker_dem_formal	67029	67043	"""Jeg elsker Dem"""
runeberg-hamsun-victoria	hamsun-victoria-be00bbdbf853	no_jeg_elsker_dem_formal	81513	81527	"""jeg\nelsker Dem"""
runeberg-hamsun-victoria	hamsun-victoria-ac5e0080c204	no_jeg_elsker_dem_formal	103172	103186	"""Jeg\nelsker Dem"""
runeberg-hamsun-victoria	hamsun-victoria-728a88f42cf3	no_jeg_elsker_deg_dig_dere	142059	142073	"""jeg elsker dig"""
runeberg-hamsun-victoria	hamsun-victoria-738c9e32224b	no_jeg_elsker_deg_dig_dere	142846	142860	"""jeg elsker dig"""
runeberg-hamsun-pan	hamsun-pan-0e1877bfee4c	no_jeg_elsker_deg_dig_dere	48341	48355	"""Jeg\nelsker dig"""
runeberg-hamsun-pan	hamsun-pan-b4dcc2848eb5	no_jeg_elsker_deg_dig_dere	113162	113176	"""jeg elsker dig"""
runeberg-hamsun-pan	hamsun-pan-4dbcad04ce15	no_jeg_elsker_deg_dig_dere	128907	128921	"""jeg elsker dig"""
runeberg-hamsun-pan	hamsun-pan-700d90715f3a	no_jeg_elsker_deg_dig_dere	132047	132061	"""jeg elsker dig"""
gutenberg-2419	dumas-fils-la-dame-aux-camelias-1843342a0444	fr_je_vous_aime	128492	128504	"""je vous aime"""
gutenberg-2419	dumas-fils-la-dame-aux-camelias-e073952cd29d	fr_je_vous_aime	129914	129926	"""je vous aime"""
gutenberg-2419	dumas-fils-la-dame-aux-camelias-586fc1b17220	fr_je_taime_apostrophe_spacing	174735	174744	"""je t'aime"""
gutenberg-2419	dumas-fils-la-dame-aux-camelias-8367dce9eb16	fr_je_vous_aime	176246	176258	"""je vous aime"""
gutenberg-2419	dumas-fils-la-dame-aux-camelias-1aa634efc234	fr_je_vous_aime	177268	177280	"""je vous aime"""
gutenberg-2419	dumas-fils-la-dame-aux-camelias-dbb35581cef3	fr_je_vous_aime	179365	179377	"""Je vous\naime"""
gutenberg-2419	dumas-fils-la-dame-aux-camelias-73b38acbba68	fr_je_vous_aime	200574	200586	"""je vous aime"""
gutenberg-2419	dumas-fils-la-dame-aux-camelias-a7a1b4e98b66	fr_je_taime_apostrophe_spacing	234484	234493	"""je t'aime"""
gutenberg-2419	dumas-fils-la-dame-aux-camelias-d74dd7d57c75	fr_je_taime_apostrophe_spacing	234567	234576	"""je t'aime"""
gutenberg-2419	dumas-fils-la-dame-aux-camelias-697fbf6647d5	fr_je_taime_apostrophe_spacing	241276	241285	"""je t'aime"""
gutenberg-2419	dumas-fils-la-dame-aux-camelias-dec42bc1687b	fr_je_taime_apostrophe_spacing	255845	255854	"""je t'aime"""
gutenberg-2419	dumas-fils-la-dame-aux-camelias-d8ce633d2a17	fr_je_taime_apostrophe_spacing	273220	273229	"""je t'aime"""
gutenberg-2419	dumas-fils-la-dame-aux-camelias-00342a2512df	fr_je_taime_apostrophe_spacing	273878	273887	"""je t'aime"""
gutenberg-2419	dumas-fils-la-dame-aux-camelias-85963bb66685	fr_je_vous_aime	314447	314459	"""je vous aime"""
gutenberg-2419	dumas-fils-la-dame-aux-camelias-48cb2a607749	fr_je_taime_apostrophe_spacing	325989	325998	"""je t'aime"""
gutenberg-13861	constant-adolphe-21bd511d198a	fr_je_vous_aime	101753	101765	"""je vous aime"""
